0.01488	Bacteria	Bacteroidetes	CFGB75933	OFGB75933	FGB75933	GGB46599	GGB46599_SGB64468	SGB64468
0.02931	Bacteria	Bacteroidetes	CFGB76561	OFGB76561	FGB76561	GGB67319	GGB67319_SGB91067	SGB91067
0.0436	Bacteria	Bacteroidetes	CFGB7709	OFGB7709	FGB7709	GGB46555	GGB46555_SGB64420	SGB64420
0.00045	Bacteria	Bacteroidetes	CFGB7739	OFGB7739	FGB7739	GGB24445	GGB24445_SGB36288	SGB36288
0.00191	Bacteria	Bacteroidetes	CFGB8910	OFGB8910	FGB8910	GGB26682	GGB26682_SGB38863	SGB38863
0.02222	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Weeksellaceae	Cloacibacterium	Cloacibacterium_caeni	SGB2534
0.00158	Bacteria	Candidatus_Aminicenantes	CFGB8486	OFGB8486	FGB8486	GGB25801	GGB25801_SGB37786	SGB37786
24.246	Bacteria	Candidatus_Cloacimonetes	Candidatus_Cloacimonetes_unclassified	Candidatus_Cloacimonetes_unclassified	Candidatus_Cloacimonetes_unclassified	Candidatus_Cloacimonas	Candidatus_Cloacimonas_acidaminovorans	SGB3762
0.21905	Bacteria	Candidatus_Cloacimonetes	Candidatus_Cloacimonetes_unclassified	Candidatus_Cloacimonetes_unclassified	Candidatus_Cloacimonetes_unclassified	Candidatus_Syntrophosphaera	Candidatus_Syntrophosphaera_thermopropionivorans	SGB28408
0.00304	Bacteria	Candidatus_Cloacimonetes	Candidatus_Cloacimonetes_unclassified	Candidatus_Cloacimonetes_unclassified	Candidatus_Cloacimonetes_unclassified	GGB24645	GGB24645_SGB36508	SGB36508
0.0026	Bacteria	Candidatus_Hydrogenedentes	CFGB8426	OFGB8426	FGB8426	GGB25719	GGB25719_SGB61051	SGB61051
0.11943	Bacteria	Candidatus_Saccharibacteria	Candidatus_Saccharibacteria_unclassified	Candidatus_Saccharibacteria_unclassified	Candidatus_Saccharibacteria_unclassified	Candidatus_Saccharimonas	Candidatus_Saccharimonas_aalborgensis	SGB19920
0.01355	Bacteria	Candidatus_Saccharibacteria	Candidatus_Saccharibacteria_unclassified	Candidatus_Saccharibacteria_unclassified	Candidatus_Saccharibacteria_unclassified	GGB75737	GGB75737_SGB102653	SGB102653
0.00058	Bacteria	Candidatus_Saccharibacteria	CFGB23620	OFGB23620	FGB23620	GGB67134	GGB67134_SGB90850	SGB90850
0.1198	Bacteria	Candidatus_Saccharibacteria	CFGB42739	OFGB42739	FGB42739	GGB47408	GGB47408_SGB102670	SGB102670
0.01448	Bacteria	Candidatus_Saccharibacteria	CFGB47467	OFGB47467	FGB47467	GGB67138	GGB67138_SGB90854	SGB90854
3.39843	Bacteria	Candidatus_Saccharibacteria	CFGB7348	OFGB7348	FGB7348	GGB23589	GGB23589_SGB35285	SGB35285
0.00497	Bacteria	Chloroflexi	Anaerolineae	Aggregatilineales	Aggregatilineaceae	GGB45347	GGB45347_SGB62879	SGB62879
0.00338	Bacteria	Chloroflexi	Anaerolineae	Anaerolineae_unclassified	Anaerolineae_unclassified	Anaerolineae_unclassified	Anaerolineae_bacterium_clx_CAG2	SGB72327
0.00122	Bacteria	Chloroflexi	Ardenticatenia	Ardenticatenales	Ardenticatenaceae	Candidatus_Promineofilum	Candidatus_Promineofilum_breve	SGB17721
0.01193	Bacteria	Chloroflexi	CFGB24537	OFGB24537	FGB24537	GGB41833	GGB41833_SGB58930	SGB58930
0.06092	Bacteria	Chloroflexi	CFGB39849	OFGB39849	FGB39849	GGB41812	GGB41812_SGB58908	SGB58908
0.13974	Bacteria	Coprothermobacterota	Coprothermobacteria	Coprothermobacterales	Coprothermobacteraceae	Coprothermobacter	Coprothermobacter_proteolyticus	SGB8555
0.00433	Bacteria	Deferribacteres	CFGB25719	OFGB25719	FGB25719	GGB60175	GGB60175_SGB82100	SGB82100
0.70757	Bacteria	Dictyoglomi	CFGB42234	OFGB42234	FGB42234	GGB42235	GGB42235_SGB59393	SGB59393
0.01091	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus_SGB6173	SGB6173
0.0062	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus_amylovorus	SGB7050
0.01681	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus_suis	SGB101628
0.00044	Bacteria	Firmicutes	CFGB11619	OFGB11619	FGB11619	GGB34003	GGB34003_SGB79733	SGB79733
0.00497	Bacteria	Firmicutes	CFGB1927	OFGB1927	FGB1927	GGB24917	GGB24917_SGB36828	SGB36828
0.00036	Bacteria	Firmicutes	CFGB26775	OFGB26775	FGB26775	GGB26775	GGB26775_SGB38960	SGB38960
1.34018	Bacteria	Firmicutes	CFGB27080	OFGB27080	FGB27080	GGB27082	GGB27082_SGB39291	SGB39291
0.0103	Bacteria	Firmicutes	CFGB3438	OFGB3438	FGB3438	GGB57993	GGB57993_SGB79614	SGB79614
0.07806	Bacteria	Firmicutes	CFGB39903	OFGB39903	FGB39903	GGB41897	GGB41897_SGB58996	SGB58996
0.07991	Bacteria	Firmicutes	CFGB4798	OFGB4798	FGB4798	GGB42087	GGB42087_SGB59228	SGB59228
0.91482	Bacteria	Firmicutes	CFGB8063	OFGB8063	FGB8063	GGB24947	GGB24947_SGB36860	SGB36860
0.00855	Bacteria	Firmicutes	CFGB8287	OFGB8287	FGB8287	GGB30134	GGB30134_SGB43057	SGB43057
0.14186	Bacteria	Firmicutes	CFGB8935	OFGB8935	FGB8935	GGB26712	GGB26712_SGB38893	SGB38893
0.00022	Bacteria	Firmicutes	CFGB8972	OFGB8972	FGB8972	GGB26773	GGB26773_SGB38958	SGB38958
0.00107	Bacteria	Firmicutes	CFGB8975	OFGB8975	FGB8975	GGB37021	GGB37021_SGB49017	SGB49017
0.05306	Bacteria	Firmicutes	CFGB8978	OFGB8978	FGB8978	GGB26780	GGB26780_SGB38965	SGB38965
