#mpa_vOct22_CHOCOPhlAnSGB_202212
#/home/rodrigo/miniconda3/bin/metaphlan /mnt/HDDStorage/jsequeira/rodrigo/Datasets/Hom-5A_S13.fastq_output/Hom-5A_S13_humann_temp/tmptixv0n6k/tmpgrqmf_cb -t rel_ab -o /mnt/HDDStorage/jsequeira/rodrigo/Datasets/Hom-5A_S13.fastq_output/Hom-5A_S13_humann_temp/Hom-5A_S13_metaphlan_bugs_list.tsv --input_type fastq --bowtie2out /mnt/HDDStorage/jsequeira/rodrigo/Datasets/Hom-5A_S13.fastq_output/Hom-5A_S13_humann_temp/Hom-5A_S13_metaphlan_bowtie2.txt --nproc 12
#119461023 reads processed
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
k__Archaea|p__Euryarchaeota|c__CFGB76181|o__OFGB76181	2157|28890||	0.09825	
k__Bacteria|p__Bacteroidetes|c__CFGB42248|o__OFGB42248	2|976||	0.09142	
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified|o__Bacteria_unclassified	2|||	0.09108	
k__Bacteria|p__Firmicutes|c__CFGB4798|o__OFGB4798	2|1239||	0.07991	
k__Bacteria|p__Firmicutes|c__CFGB39903|o__OFGB39903	2|1239||	0.07806	
k__Bacteria|p__Tenericutes|c__CFGB9180|o__OFGB9180	2|544448||	0.06854	
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Propionibacteriales	2|201174|1760|85009	0.06522	
k__Bacteria|p__Chloroflexi|c__CFGB39849|o__OFGB39849	2|200795||	0.06092	
k__Bacteria|p__Bacteroidetes|c__CFGB24433|o__OFGB24433	2|976||	0.05829	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Marinilabiliales	2|976|200643|1970189	0.05318	
k__Bacteria|p__Firmicutes|c__CFGB8978|o__OFGB8978	2|1239||	0.05306	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales	2|1224|1236|135614	0.05007	
k__Archaea|p__Euryarchaeota|c__CFGB38|o__OFGB38	2157|28890||	0.04988	
k__Bacteria|p__Proteobacteria|c__CFGB14846|o__OFGB14846	2|1224||	0.04853	
k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales	2|203691|203692|136	0.04762	
k__Bacteria|p__Atribacterota|c__Atribacteria|o__Atribacterales	2|67818|2847774|2847775	0.04659	
k__Bacteria|p__Bacteroidetes|c__CFGB7709|o__OFGB7709	2|976||	0.0436	
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Nakamurellales	2|201174|1760|1643684	0.04147	
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	0.03392	
k__Bacteria|p__Bacteroidetes|c__CFGB76561|o__OFGB76561	2|976||	0.02931	
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales	2|1224|29547|213849	0.02513	
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales	2|976|117743|200644	0.02222	
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales	2|201174|1760|85004	0.02189	
k__Bacteria|p__Proteobacteria|c__CFGB11081|o__OFGB11081	2|1224||	0.02174	
k__Bacteria|p__Synergistetes|c__CFGB15867|o__OFGB15867	2|508458||	0.01821	
k__Bacteria|p__Proteobacteria|c__CFGB26025|o__OFGB26025	2|1224||	0.0149	
k__Bacteria|p__Bacteroidetes|c__CFGB75933|o__OFGB75933	2|976||	0.01488	
k__Bacteria|p__Candidatus_Saccharibacteria|c__CFGB47467|o__OFGB47467	2|95818||	0.01448	
k__Bacteria|p__Chloroflexi|c__CFGB24537|o__OFGB24537	2|200795||	0.01193	
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales	2|1224|28211|356	0.01136	
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales	2|1224|28211|204458	0.01133	
k__Bacteria|p__Kiritimatiellaeota|c__CFGB30752|o__OFGB30752	2|134625||	0.01042	
