#mpa_vOct22_CHOCOPhlAnSGB_202212
#/home/rodrigo/miniconda3/bin/metaphlan /mnt/HDDStorage/jsequeira/rodrigo/Datasets/P21158_80_S11.fastq_output/P21158_80_S11_001_humann_temp/tmpf5q1zrc2/tmpole619_q -t rel_ab -o /mnt/HDDStorage/jsequeira/rodrigo/Datasets/P21158_80_S11.fastq_output/P21158_80_S11_001_humann_temp/P21158_80_S11_001_metaphlan_bugs_list.tsv --input_type fastq --bowtie2out /mnt/HDDStorage/jsequeira/rodrigo/Datasets/P21158_80_S11.fastq_output/P21158_80_S11_001_humann_temp/P21158_80_S11_001_metaphlan_bowtie2.txt --nproc 12
#72759025 reads processed
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
k__Bacteria|p__Spirochaetes|c__CFGB42821|o__OFGB42821|f__FGB42821|g__GGB42821	2|203691||||	4.02236	
k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanotrichales|f__Methanotrichaceae|g__GGB54100	2157|28890|224756|2905377|143067|	3.50172	
k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanotrichales|f__Methanotrichaceae|g__Methanothrix	2157|28890|224756|2905377|143067|2222	3.2401	
k__Bacteria|p__Candidatus_Cloacimonetes|c__CFGB7869|o__OFGB7869|f__FGB7869|g__GGB24641	2|456828||||	2.50248	
k__Bacteria|p__Bacteroidetes|c__CFGB36012|o__OFGB36012|f__FGB36012|g__GGB35206	2|976||||	2.2624	
k__Bacteria|p__Bacteroidetes|c__CFGB24658|o__OFGB24658|f__FGB24658|g__GGB46168	2|976||||	2.20296	
k__Bacteria|p__Bacteroidetes|c__CFGB7739|o__OFGB7739|f__FGB7739|g__GGB24445	2|976||||	1.907	
k__Bacteria|p__Tenericutes|c__CFGB9180|o__OFGB9180|f__FGB9180|g__GGB73886	2|544448||||	1.70544	
k__Bacteria|p__Candidatus_Cloacimonetes|c__Candidatus_Cloacimonetes_unclassified|o__Candidatus_Cloacimonetes_unclassified|f__Candidatus_Cloacimonetes_unclassified|g__Candidatus_Syntrophosphaera	2|456828||||2593013	1.47163	
k__Bacteria|p__Firmicutes|c__CFGB39903|o__OFGB39903|f__FGB39903|g__GGB41897	2|1239||||	1.46161	
k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanomicrobiales|f__Methanoregulaceae|g__GGB54155	2157|28890|224756|2191|1198451|	1.3192	
k__Bacteria|p__Firmicutes|c__CFGB26775|o__OFGB26775|f__FGB26775|g__GGB26775	2|1239||||	0.98833	
