#mpa_vOct22_CHOCOPhlAnSGB_202212
#/home/rodrigo/miniconda3/bin/metaphlan /mnt/HDDStorage/jsequeira/rodrigo/Datasets/VReal-3A_S10.fastq_output/VReal-3A_S10_humann_temp/tmp9uqp8scc/tmpsw7y76lt -t rel_ab -o /mnt/HDDStorage/jsequeira/rodrigo/Datasets/VReal-3A_S10.fastq_output/VReal-3A_S10_humann_temp/VReal-3A_S10_metaphlan_bugs_list.tsv --input_type fastq --bowtie2out /mnt/HDDStorage/jsequeira/rodrigo/Datasets/VReal-3A_S10.fastq_output/VReal-3A_S10_humann_temp/VReal-3A_S10_metaphlan_bowtie2.txt --nproc 12
#130113000 reads processed
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
k__Bacteria|p__Bacteroidetes|c__CFGB7709|o__OFGB7709	2|976||	1.10725	
k__Bacteria|p__Synergistetes|c__CFGB7945|o__OFGB7945	2|508458||	1.05627	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	2|1224|28216|80840	1.05321	
k__Bacteria|p__Bacteroidetes|c__CFGB7461|o__OFGB7461	2|976||	0.95622	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Gammaproteobacteria_unclassified	2|1224|1236|	0.92041	
k__Bacteria|p__Proteobacteria|c__CFGB8946|o__OFGB8946	2|1224||	0.63951	
k__Archaea|p__Euryarchaeota|c__CFGB76181|o__OFGB76181	2157|28890||	0.61946	
k__Bacteria|p__Firmicutes|c__CFGB39903|o__OFGB39903	2|1239||	0.5963	
k__Bacteria|p__Bacteroidetes|c__CFGB23790|o__OFGB23790	2|976||	0.52904	
k__Bacteria|p__Bacteroidetes|c__CFGB42009|o__OFGB42009	2|976||	0.51247	
k__Bacteria|p__Acidobacteria|c__CFGB32401|o__OFGB32401	2|57723||	0.49536	
k__Bacteria|p__Proteobacteria|c__CFGB20881|o__OFGB20881	2|1224||	0.44698	
k__Bacteria|p__Planctomycetes|c__CFGB45746|o__OFGB45746	2|203682||	0.41012	
k__Bacteria|p__Proteobacteria|c__CFGB43452|o__OFGB43452	2|1224||	0.38372	
k__Bacteria|p__Firmicutes|c__CFGB4798|o__OFGB4798	2|1239||	0.37811	
k__Bacteria|p__Candidatus_Hydrogenedentes|c__CFGB8426|o__OFGB8426	2|142187||	0.36353	
k__Bacteria|p__Firmicutes|c__CFGB25401|o__OFGB25401	2|1239||	0.31434	
k__Bacteria|p__Firmicutes|c__CFGB76402|o__OFGB76402	2|1239||	0.29152	
k__Bacteria|p__Firmicutes|c__CFGB8975|o__OFGB8975	2|1239||	0.24959	
k__Bacteria|p__Proteobacteria|c__CFGB41806|o__OFGB41806	2|1224||	0.24783	
k__Bacteria|p__Synergistetes|c__Synergistia|o__Synergistales	2|508458|649775|649776	0.21637	
k__Bacteria|p__Tenericutes|c__CFGB26653|o__OFGB26653	2|544448||	0.19163	
k__Bacteria|p__Actinobacteria|c__Acidimicrobiia|o__Acidimicrobiales	2|201174|84992|84993	0.18902	
k__Bacteria|p__Bacteria_unclassified|c__CFGB7371|o__OFGB7371	2|||	0.18762	
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales	2|201174|1760|2037	0.18717	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Betaproteobacteria_unclassified	2|1224|28216|	0.17897	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Moraxellales	2|1224|1236|2887326	0.17178	
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified|o__Bacteria_unclassified	2|||	0.15596	
k__Bacteria|p__Kiritimatiellaeota|c__CFGB30752|o__OFGB30752	2|134625||	0.15045	
k__Bacteria|p__Proteobacteria|c__CFGB40144|o__OFGB40144	2|1224||	0.13658	
k__Bacteria|p__Bacteroidetes|c__CFGB46194|o__OFGB46194	2|976||	0.13366	
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales	2157|28890|183925|2158	0.1161	
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Propionibacteriales	2|201174|1760|85009	0.11581	
k__Archaea|p__Euryarchaeota|c__CFGB38|o__OFGB38	2157|28890||	0.11191	
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	0.10738	
k__Bacteria|p__Firmicutes|c__CFGB8063|o__OFGB8063	2|1239||	0.10695	
k__Bacteria|p__Chloroflexi|c__CFGB39849|o__OFGB39849	2|200795||	0.09945	
k__Bacteria|p__Firmicutes|c__CFGB3438|o__OFGB3438	2|1239||	0.09665	
k__Bacteria|p__Bacteroidetes|c__CFGB24578|o__OFGB24578	2|976||	0.08794	
